field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"English Nationality Room Committee Records, 1931-1981",UA.40.07,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","English Nationality Room Committee Records, 1931-1981, UA.40.07, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"English Nationality Room Committee Collection\, 1931-1981",,UA-40-07,,,"English Nationality Room Committee Collection\, 1931-1981\, UA.40.07\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.41,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.42,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.43,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.44,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.45,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.46,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.47,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.48,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.49,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.50,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.65,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"University of Pittsburgh Archives Photographs, ca. 1880-present",UA.Photos,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","University of Pittsburgh Archives Photographs, ca. 1880-present, UA.Photos, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"University of Pittsburgh Historic Photographs\, 1884-present",,UA.Photos,,,"University of Pittsburgh Archives Photograph Collection\, 1971-2006\, UA.Photos\, Archives & Special Collections\, University of Pittsburgh Library System"
"Norwegian Nationality Room Committee Records, 1928-2009",UA.40.16,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Norwegian Nationality Room Committee Records, 1928-2009, UA.40.16, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"University of Pittsburgh Historic Photographs\, 1884-present",,UA-40-16,,,"Norwegian Nationality Room Committee Collection\, 1928-2009\, UA.40.16\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Jonas Salk Polio Vaccine Collection, 1917-2005",UA.90.F89,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Jonas Salk Polio Vaccine Collection, 1917-2005, UA.90.F89, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"Jonas Salk Polio Vaccine Collection\, 1917-2005",,UA.90.F89,,,"Jonas Salk Polio Vaccine Collection\, 1917-2005\, UA.90.F89\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.66,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.67,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.68,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.69,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.70,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.71,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.51,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.52,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.53,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.54,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.55,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.56,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.57,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.58,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.59,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.60,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.61,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.62,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.63,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Graduate School of Public Health Records, 1937-2018",UA.90.41,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Graduate School of Public Health Records, 1937-2018, UA.90.41, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,Graduate School of Public Health Records,,UA.90.64,,,"Graduate School of Public Health Records\, 1937-2018\, UA.90.41\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Ken Kobus Photograph Collection, 1980-1990",AIS.2006.18,"Archives & Special Collections, University of Pittsburgh Library System","Ken Kobus Photograph Collection, 1980-1990, AIS.2006.18, Archives & Special Collections, University of Pittsburgh Library System",,,"Ken Kobus Photograph Collection\, 1980-1990",,AIS.2006.18,,,"Ken Kobus Photograph Collection\, 1980-1990\, AIS.2006.18\, Archives & Special Collections\, University of Pittsburgh Library System"
"Allegheny Observatory Records, 1850-1977",UA.5.1,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Allegheny Observatory Records, 1850-1977, UA.5.1, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"Allegheny Observatory Records\, 1850-1977",,UA.5.1,,,"Allegheny Observatory Records\, 1850-1967\, UA.5.1\, University Archives\, Archives & Special Collections\, University of Pittsburgh Library System"
"Communist Collection of A.E. Forbes, 1921-1972",AIS.2000.07,"Archives & Special Collections, University of Pittsburgh Library System","Communist Collection of A.E. Forbes, 1921-1972, AIS.2000.07, Archives & Special Collections, University of Pittsburgh Library System",,,,1921-1972,2000.07,,"A. E. Forbes Communist Collection\, 1921-1972\, AIS 2000:07\, Archives Service Center\, University of Pittsburgh",
"Communist Collection of A.E. Forbes, 1921-1972",AIS.2000.07,"Archives & Special Collections, University of Pittsburgh Library System","Communist Collection of A.E. Forbes, 1921-1972, AIS.2000.07, Archives & Special Collections, University of Pittsburgh Library System",,,,1921-1972,2000.07,,,"A. E. Forbes Communist Collection\, 1921-1972\, AIS 2000:07\, Archives & Special Collections\, University of Pittsburgh Library System"
"CONSOL Energy, Inc. Mine Maps and Records, 1857-2010",AIS.1991.16,"Archives & Special Collections, University of Pittsburgh Library System","CONSOL Energy, Inc. Mine Maps and Records, 1857-2010,  AIS.1991.16, Archives & Special Collections, University of Pittsburgh Library System",,,"CONSOL Energy Inc. Mine Maps and Records\, 1857-2010",,AIS.1991.16,,,"CONSOL Energy\, Inc. Mine Maps and Records\, 1857-2010\, AIS.1991.16\, Archives & Special Collections\, University of Pittsburgh Library System"
"Homestead Album Oral History Project Records, 1975-1977",AIS.1980.06,"Archives & Special Collections, University of Pittsburgh Library System","Homestead Album Oral History Project Records, 1975-1977, AIS.1980.06, Archives & Special Collections, University of Pittsburgh Library System",,,"Homestead Album Oral History Project Records\, 1975-1977",,AIS.1980.06,,,"Homestead Album Oral History Project Records\, 1975-1977\, AIS.1980.06\, Archives & Special Collections\, University of Pittsburgh Library System"
"Archives of Industrial Society (AIS) General Photograph Collection, 1895-present",AIS.Photos,"Archives & Special Collections, University of Pittsburgh Library System","Archives of Industrial Society (AIS) General Photograph Collection, 1895-present, AIS.Photos, Archives & Special Collections, University of Pittsburgh Library System",,,"Archives of Industrial Society (AIS) General Photograph Collection\, 1895-present",,AIS.Photos,,,"Archives of Industrial Society (AIS) General Photograph Collection\, 1895-present\, AIS.Photos\, Archives & Special Collections\, University of Pittsburgh Library System"
"Union Arcade Building Photograph Collection, 1915-1916",AIS.2005.09,"Archives & Special Collections, University of Pittsburgh Library System","Union Arcade Building Photograph Collection, 1915-1916, AIS.2005.09, Archives & Special Collections, University of Pittsburgh Library System",,,"Union Arcade Building Photograph Collection\, 1915-1916",,AIS.2005.09,,,"Union Arcade Building Photograph Collection\, 1915-1916\, AIS.2005.09\, Archives & Special Collections\, University of Pittsburgh Library System"
"Southern Blacks' Migration to Pittsburgh Oral History Project, 1973-1977",AIS.1977.46,"Archives & Special Collections, University of Pittsburgh Library System","Southern Blacks' Migration to Pittsburgh Oral History Project, 1973-1977, AIS.1977.46, Archives & Special Collections, University of Pittsburgh Library System",,,"Southern Blacks' Migration to Pittsburgh Oral History Project\, 1973-1977",,AIS.1977.46,,,"Southern Blacks' Migration to Pittsburgh Oral History Project\, 1973-1977\, AIS.1977.46\, Archives & Special Collections\, University of Pittsburgh Library System"
"Francis C. Shane Papers, 1942-1969",AIS.1996.03,"Archives & Special Collections, University of Pittsburgh Library System","Francis C. Shane Papers, 1942-1969, AIS.1996.03, Archives & Special Collections, University of Pittsburgh Library System",,,"Francis C. Shane Papers\, 1942-1969",,AIS.1996.03,,,"Francis C. Shane Papers\, 1942-1969\, AIS.1996.03\, Archives & Special Collections\, University of Pittsburgh Library System"
"William H. Wolf Photograph Collection, 1890-1920",AIS.2004.13,"Archives & Special Collections, University of Pittsburgh Library System","William H. Wolf Photograph Collection, 1890-1920, AIS.2004.13, Archives & Special Collections, University of Pittsburgh Library System",,,William H. Wolf Photograph Collection,,AIS.2004.13,,,"William H. Wolf Photograph Collection\, AIS.2004.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"William Penn Hotel Construction Progress Photograph Collection, 1914-1916",AIS.2008.01,"Archives & Special Collections, University of Pittsburgh Library System","William Penn Hotel Construction Progress Photograph Collection, 1914-1916, AIS.2008.01, Archives & Special Collections, University of Pittsburgh Library System",,,"William Penn Hotel Construction Progress Photograph Collection\, 1914-1916",,AIS.2008.01,,,"William Penn Hotel Construction Progress Photograph Collection\, 1914-1916\, AIS.2008.01\, Archives & Special Collections\, University of Pittsburgh Library System"
"Sarah Cordelia Mellon and Alan Magee Scaife Wedding Album, 1909-1927",AIS.2021.02,"Archives & Special Collections, University of Pittsburgh Library System","Sarah Cordelia Mellon and Alan Magee Scaife Wedding Album, 1909-1927, AIS.2021.02, Archives & Special Collections, University of Pittsburgh Library System",,,"Sarah Cordelia Mellon and Alan Magee Scaife Wedding Album\, 1909 - 1927",,AIS.2021.02,,,"Sarah Cordelia Mellon and Alan Magee Scaife Wedding Album\, 1909 - 1927\, AIS.2021.02\, Archives & Special Collections\, University of Pittsburgh Library System"
"Duquesne Light Photograph Collection, 1926-1942",AIS.2012.05,"Archives & Special Collections, University of Pittsburgh Library System","Duquesne Light Photograph Collection, 1926-1942, AIS.2012.05, Archives & Special Collections, University of Pittsburgh Library System",,,"Duquesne Light Photograph Collection\, 1927-1942",,AIS.2012.05,,,"Duquesne Light Photograph Collection\, AIS.2012.05\, 1929-1942\, Archives & Special Collections\, University of Pittsburgh Library System"
"Pittsburgh Renaissance Project: The Stanton Belfour Oral History Collection, 1971-1973",AIS.1973.24,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh Renaissance Project: The Stanton Belfour Oral History Collection, 1971-1973, AIS.1973.24, Archives & Special Collections, University of Pittsburgh Library System",,,"Pittsburgh Renaissance Project: The Stanton Belfour Oral History Collection\, 1971-1973",,AIS.1973.24,,,"Pittsburgh Renaissance Project: The Stanton Belfour Oral History Collection\, 1971-1973\, AIS.1973.24\, Archives & Special Collections\, University of Pittsburgh Library System"
"James R. Cox Papers, 1923-1950",AIS.1969.05,"Archives & Special Collections, University of Pittsburgh Library System","James R. Cox Papers, 1923-1950, AIS.1969.05, Archives & Special Collections, University of Pittsburgh Library System",,,"James R. Cox Papers\, 1923-1950",,AIS.1969.05,,,"James R. Cox Papers\, 1923-1950\, AIS.1969.05\, Archives & Special Collections\, University of Pittsburgh Library System"
"Pittsburgh Railways Company Records, 1872-1974",AIS.1974.29,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh Railways Company Records, 1872-1974, AIS.1974.29, Archives & Special Collections, University of Pittsburgh Library System",,,"Pittsburgh Railways Company Records\, 1872-1974",,AIS.1974.29,,,"Pittsburgh Railways Company Records\, 1872-1974\, AIS.1974.29\, Archives & Special Collections\, University of Pittsburgh Library System"
"Urban League of Pittsburgh Records, 1915-1963",AIS.1981.11,"Archives & Special Collections, University of Pittsburgh Library System","Urban League of Pittsburgh Records, 1915-1963, AIS.1981.11, Archives & Special Collections, University of Pittsburgh Library System",,,"Urban League of Pittsburgh Records\, 1915-1963",,AIS.1981.11,,,"Urban League of Pittsburgh Records\, 1915-1963\, AIS.1981.11\, Archives & Special Collections\, University of Pittsburgh Library System"
"Aerial Photographs of Pittsburgh Collection, ca. 1923-1937",AIS.1988.06,"Archives & Special Collections, University of Pittsburgh Library System","Aerial Photographs of Pittsburgh Collection, ca. 1923-1937, AIS.1988.06, Archives & Special Collections, University of Pittsburgh Library System",,,"Aerial Photographs of Pittsburgh Collection\, ca. 1923-1937",,AIS.1988.06,,,"Aerial Photographs of Pittsburgh Collection\, ca. 1923-1937\, AIS.1988.06\, Archives & Special Collections\, University of Pittsburgh Library System"
"Stereoviews of the Railroad Strike of 1877, July 21-22, 1877",AIS.2019.05,"Archives & Special Collections, University of Pittsburgh Library System","Stereoviews of the Railroad Strike of 1877, July 21-22, 1877, AIS.2019.05, Archives & Special Collections, University of Pittsburgh Library System",,,"Stereoviews of the Railroad Strike of 1877\, July 21-22\, 1877",,AIS.2019.05,,,"Stereoviews of the Railroad Strike of 1877\, July 21-22\, 1877\, AIS.2019.05\, Archives & Special Collections\, University of Pittsburgh Library System"
"Pittsburgh Youth Olympiad Photographs, 1968",AIS.2022.02,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh Youth Olympiad Photographs, 1968, AIS.2022.02, Archives & Special Collections, University of Pittsburgh Library System",,,"Pittsburgh Youth Olympiad Photographs\, 1968",,AIS.2022.02,,,"Pittsburgh Youth Olympiad Photographs\, 1968\, AIS.2022.02\, Archives & Special Collections\, University of Pittsburgh Library System"
"Emergency Influenza Hospital Nurses (Duquesne, Pa.) Photographs, 1918",AIS.2021.11,"Archives & Special Collections, University of Pittsburgh Library System","Emergency Influenza Hospital Nurses (Duquesne, Pa.) Photographs, 1918, AIS.2022.11, Archives & Special Collections, University of Pittsburgh Library System",,,"African American Influenza Nurses Photographs\, 1918",,AIS.2022.11,,,"African American Influenza Nurses Photographs\, 1918\, AIS.2022.11\, Archives & Special Collections\, University of Pittsburgh Library System"
"Steffi Domike Papers, 1946-2009",AIS.1997.20,"Archives & Special Collections, University of Pittsburgh Library System","Steffi Domike Papers, 1946-2009, AIS.1997.20, Archives & Special Collections, University of Pittsburgh Library System",,,Steffi Domike Papers,,AIS.1997.20,,,"Steffi Domike Papers\, 1946-2009\, AIS.1997.20\, Archives & Special Collections\, University of Pittsburgh Library System"
"State and Local Government Archives Oral History Collection, 1996-2002",AIS.1997.02,"Archives & Special Collections, University of Pittsburgh Library System","State and Local Government Archives Oral History Collection, 1996-2002, AIS.1997.02, Archives & Special Collections, University of Pittsburgh Library System",,,"State and Local Government Archives Oral History Collection\, 1996-2002",,AIS.1997.02,,,"State and Local Government Archives Oral History Collection\, 1996-2002\, AIS.1997.02\, Archives & Special Collections\, University of Pittsburgh Library System"
"State and Local Government Archives Oral History Collection, 1996-2002",AIS.1997.02,"Archives & Special Collections, University of Pittsburgh Library System","State and Local Government Archives Oral History Collection, 1996-2002, AIS.1997.02, Archives & Special Collections, University of Pittsburgh Library System",,,"State and Local Government Archives Oral History Collection\, 1996-2002 AIS.1997.02",,AIS.1997.02,,,"State and Local Government Archives Oral History Collection\, 1996-2002\, AIS.1997.02\, Archives & Special Collections\, University of Pittsburgh Library System"
"John Gates Photograph Collection, ca. 1890-1910",AIS.1991.22,"Archives & Special Collections, University of Pittsburgh Library System","John Gates Photograph Collection, ca. 1890-1910, AIS.1991.22, Archives & Special Collections, University of Pittsburgh Library System",,,"John Gates Photograph Collection\, ca. 1890-1910",,AIS.1991.22,,,"John Gates Photograph Collection\, ca. 1890-1910\, AIS.1991.22\, Archives & Special Collections\, University of Pittsburgh Library System"
"Magee Family Papers, 1790-1952",DAR.1968.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Magee Family Papers, 1790-1952, DAR.1968.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Magee Family Papers\, 1790-1952",,DAR.1968.01,,,"Magee Family Papers\, 1790-1952\, DAR.1968.01\, Archives & Special Collections\, University of Pittsburgh Library System"
"Darlington Family Papers, 1753-1921",DAR.1925.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Darlington Family Papers, 1753-1921, DAR.1925.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Darlington Family Papers\, 1753-1921",,DAR.1925.01,,,"Darlington Family Papers\, 1753-1921\, DAR.1925.01\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"United States Steel Corporation Duquesne Works Industrial Relations Department Records, 1904-1980",AIS.1987.03,"Archives & Special Collections, University of Pittsburgh Library System","United States Steel Corporation Duquesne Works Industrial Relations Department Records, 1904-1980, AIS.1987.03, Archives & Special Collections, University of Pittsburgh Library System",,,"United States Steel Corporation Duquesne Works Industrial Relations Department Records\, 1904-1980",,AIS.1987.03,,,"United States Steel Corporation Duquesne Works Industrial Relations Department Records\, 1904-1980\, AIS.1987.03\, Archives & Special Collections\, University of Pittsburgh Library System"
"Spencer Family Photograph Collection, 1896-1911",AIS.1990.07,"Archives & Special Collections, University of Pittsburgh Library System","Spencer Family Photograph Collection, 1896-1911, AIS.1990.07, Archives & Special Collections, University of Pittsburgh Library System",,,"Spencer Family Photograph Collection\, 1896-1911",,AIS.1990.07,,,"Spencer Family Photograph Collection\, 1896-1911\, AIS.1990.07\, Archives & Special Collections\, University of Pittsburgh Library System"
"Homestead Album Oral History Project Records, 1975-1977",AIS.1980.06,"Archives & Special Collections, University of Pittsburgh Library System","Homestead Album Oral History Project Records, 1975-1977, AIS.1980.06, Archives & Special Collections, University of Pittsburgh Library System",,,"Homestead Album Oral History Project Records\, 1975-1977",,AIS.1980.60,,,"Homestead Album Oral History Project Records\, 1975-1977\, AIS.1980.06\, Archives & Special Collections\, University of Pittsburgh Library System"
